fold,target,mae_off,mae_on,delta_pct
validation,receiving_tds,0.23539639566133677,0.2329383160007217,1.04422994825778
validation,rushing_tds,0.28873605115364637,0.2899043031437006,-0.4046089795113783
validation,passing_tds,0.7845385361152927,0.7952078142420765,-1.3599431558344754
validation,targets,1.6225213245184185,1.622498235038792,0.0014230617051080863
validation,carries,2.9091104774644876,2.920846473131801,-0.4034221373930835
test,receiving_tds,0.23606361288367333,0.23609236950191267,-0.012181724192084076
test,rushing_tds,0.2924814488848154,0.29500117389015373,-0.8614990847951587
test,passing_tds,0.848711557728915,0.8508036447441277,-0.24650153472765002
test,targets,1.6432552895029864,1.646355233852425,-0.1886465462330067
test,carries,2.8928642803320055,2.8880718649519834,0.16566333279458556
